artist_name,song_name,duration,playcount,listeners,tag
Katy Perry,Last Friday Night (T.G.I.F.),230000,9651634,1263616,pop
Destroy Lonely,if looks could kill,194000,2148572,152689,MySpotigramBot
Lady Gaga,Telephone,221000,4142750,503530,pop
Deftones,Sextape,0,7371353,545262,alternative metal
The Cranberries,Linger,274000,8378446,1093674,rock
Taylor Swift,Dear John,403000,4478724,386497,country
Lady Gaga,Bad Romance,262000,19467871,1788657,pop
Phoebe Bridgers,I Know the End,345000,7915838,436727,indie rock
Florence + the Machine,Dog Days Are Over,252000,16041564,1538864,indie
Kanye West,Stronger,311000,15267677,1995703,Hip-Hop
Beach Weather,"Sex, Drugs, Etc.",196000,5163638,420940,indie
Rihanna,Umbrella,275000,9770530,1546431,pop
Nirvana,Heart-Shaped Box,348000,13682125,1690110,Grunge
Taylor Swift,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),0,5838153,357050,country
Steve Lacy,Static,0,5330893,459506,indie pop
Radiohead,Just,200000,10266535,1191265,alternative
Agust D,People Pt.2 (feat. IU),213000,9618109,106235,Love
"Tyler, the Creator",HOT WIND BLOWS (feat. Lil Wayne),155000,5042690,457443,MySpotigramBot
"Tyler, the Creator",a boy is a gun*,0,7005252,567416,Neo-Soul
Playboi Carti,R.I.P.,192000,8674917,461503,MySpotigramBot
Lana Del Rey,How to disappear,0,6529094,465457,dream pop
Melanie Martinez,Void,0,1986042,181121,indie
Rihanna,Love On The Brain,0,8314882,741130,soul
Travis Scott,SICKO MODE,0,5979434,630401,trap
Conan Gray,Heather,198000,9353006,708513,pop
Taylor Swift,Clean,0,6611917,417700,pop
Keane,Somewhere Only We Know,237000,12586287,1527355,britpop
Ariana Grande,Positions,0,15106990,752357,pop
Kim Petras,Alone (with Nicki Minaj),185000,917701,98786,rap
Ariana Grande,Into You,0,10684445,734450,pop
Doja Cat,Streets,225000,10224387,699188,rnb
SZA,Open Arms (feat. Travis Scott),239000,3152815,343552,Neo-Soul
Frank Ocean,Godspeed,177000,8031701,624064,soul
"Tyler, the Creator",LUMBERJACK,138000,6779780,580622,abstract hip hop
Eminem,The Real Slim Shady,285000,9151363,1384326,rap
Rihanna,Only Girl (In the World),235000,10702311,1150732,pop
Tame Impala,Feels Like We Only Go Backwards,232000,10616861,1074160,Psychedelic Rock
The Weeknd,Die For You (with Ariana Grande) - Remix,0,651783,179780,The Weeknd
Taylor Swift,‘tis the damn season,0,7375934,371533,folk
Kendrick Lamar,King Kunta,234000,9773441,843344,Hip-Hop
Queen,Don't Stop Me Now - Remastered 2011,209000,4537416,734931,rock
The Weeknd,Out Of Time,0,7819505,538641,city pop
Ive,Kitsch,0,2275469,129765,k-pop
ROAR,I Can't Handle Change,0,6461406,509093,indie
Mr.kitty,After Dark,0,8825734,493368,new wave
Grimes,Oblivion,251000,12057922,992463,synthpop
Harry Styles,Matilda,245000,7116543,484525,sad
Yot Club,YKWIM?,212000,6653833,483601,Lo-Fi
OutKast,Ms. Jackson,270000,9244491,1454449,Hip-Hop
Kanye West,All Falls Down,90000,7709537,770040,Hip-Hop
Playboi Carti,Long Time - Intro,212000,8354569,425813,MySpotigramBot
PARTYNEXTDOOR,Break from Toronto,99000,6263625,472748,Hip-Hop
Playboi Carti,Vamp Anthem,124000,7517578,466537,experimental hip hop
VACATIONS,Telephones,212000,4829421,361220,Unknown
Lana Del Rey,National Anthem,342000,13195288,1002289,indie pop
Phoebe Bridgers,Scott Street,305000,5877965,413059,indie folk
Gorillaz,On Melancholy Hill,227000,12287966,1227694,electronic
Joey Bada$$,Love Is Only a Feeling,152000,7056822,473541,MySpotigramBot
Michael Jackson,Billie Jean,294000,12736224,1887231,pop
Twenty One Pilots,Stressed Out,0,10110994,998970,indie pop
Beyoncé,Break My Soul,0,7089996,465768,House
Foster the People,Pumped Up Kicks,253000,18768929,1871198,indie
ROAR,Christmas Kids,0,2894719,271664,indie rock
Tame Impala,Let It Happen,466000,10131418,849400,indie
Cigarettes After Sex,Cry,256000,4860183,387390,dream pop
